Year,Month,Day,SiteName,SiteCode,PlotNumber,Species_Code,Count,Cover
2009,July,,Grazing,4,GT4Q4,Bassia,19,5
2009,July,,Grazing,4,GT4Q4,Salsola,10,8
2009,July,,Grazing,4,GT4Q5,CS,12,18
2009,July,,Grazing,4,GT4Q5,setaria,2,2
2009,July,,Grazing,4,GT4Q5,LS,3,6
2009,July,,Grazing,4,GT4Q5,Cormac,3,1
2009,July,,Grazing,4,GT4Q5,ArSc,8,2
2009,July,,Grazing,4,GT4Q5,Alsen,1,1
2009,July,,Grazing,4,GT4Q5,CHAcc,53,3
2009,July,,Grazing,4,GT4Q5,Salsola,54,5
2009,July,,Grazing,4,GT4Q5,TT,1,1
2009,July,,Grazing,5,GT5Q1,ChAcc,110,18
2009,July,,Grazing,5,GT5Q1,Bassia,102,15
2009,July,,Grazing,5,GT5Q1,Salsola,20,12
2009,July,,Grazing,5,GT5Q2,ChAcc,11,15
2009,July,,Grazing,5,GT5Q2,Bassia,11,2
2009,July,,Grazing,5,GT5Q2,CS,1,5
2009,July,,Grazing,5,GT5Q2,Salsola,36,20
2009,July,,Grazing,5,GT5Q2,CM,2,10
2009,July,,Grazing,5,GT5Q3,PQ,5,18
2009,July,,Grazing,5,GT5Q3,ChAcc,12,2
2009,July,,Grazing,5,GT5Q3,Bassia,22,2
2009,July,,Grazing,5,GT5Q3,ArSc,3,1
2009,July,,Grazing,5,GT5Q3,setaria,8,2
2009,July,,Grazing,5,GT5Q3,CS,2,5
2009,July,,Grazing,5,GT5Q3,Salsola,42,8
2009,July,,Grazing,5,GT5Q4,PQ,4,30
2009,July,,Grazing,5,GT5Q4,ChAcc,71,8
2009,July,,Grazing,5,GT5Q4,Bassia,18,3
2009,July,,Grazing,5,GT5Q4,ArSc,1,8
2009,July,,Grazing,5,GT5Q4,Salsola,13,2
2009,July,,Grazing,5,GT5Q5,CS,4,15
2009,July,,Grazing,5,GT5Q5,Alsen,14,12
2009,July,,Grazing,5,GT5Q5,ArSc,14,3
2009,July,,Grazing,5,GT5Q5,ChAcc,92,4
2009,July,,Grazing,5,GT5Q5,Bassia,4,1
2009,July,,Grazing,6,GT6Q1,LS,8,15
2009,July,,Grazing,6,GT6Q1,ChAcc,175,10
2009,July,,Grazing,6,GT6Q1,Salsola,26,10
2009,July,,Grazing,6,GT6Q1,ArSc,1,15
2009,July,,Grazing,6,GT6Q1,Bassia,12,2
2009,July,,Grazing,6,GT6Q1,CS,2,5
2009,July,,Grazing,6,GT6Q2,Thistle,2,4
2009,July,,Grazing,6,GT6Q2,ArSc,2,10
2009,July,,Grazing,6,GT6Q2,ChAcc,125,12
2009,July,,Grazing,6,GT6Q2,Bassia,6,2
2009,July,,Grazing,6,GT6Q2,Salsola,120,20
2009,July,,Grazing,6,GT6Q2,CS,2,1
2009,July,,Grazing,6,GT6Q3,ArSc,1,20
2009,July,,Grazing,6,GT6Q3,ChAcc,86,10
2009,July,,Grazing,6,GT6Q3,Bassia,66,8
2009,July,,Grazing,6,GT6Q3,Salsola,40,5
2009,July,,Grazing,6,GT6Q4,CHAcc,106,10
2009,July,,Grazing,6,GT6Q4,Bassia,48,5
2009,July,,Grazing,6,GT6Q4,Salsola,35,12
2009,July,,Grazing,6,GT6Q5,PD,2,5
2009,July,,Grazing,6,GT6Q5,CHAcc,45,4
2009,July,,Grazing,6,GT6Q5,Bassia,18,3
2009,July,,Grazing,6,GT6Q5,Salsola,82,20
2009,July,,Grazing,6,GT6Q5,CS,3,15
2009,July,,Grazing,7,GT7Q1,ChenQ,130,8
2009,July,,Grazing,7,GT7Q1,Bassia,25,3
2009,July,,Grazing,7,GT7Q1,Salsola,73,18
2009,July,,Grazing,7,GT7Q1,CS,4,15
2009,July,,Grazing,7,GT7Q1,Alsen,13,15
2009,July,,Grazing,7,GT7Q2,ChenQ,63,5
2009,July,,Grazing,7,GT7Q2,Bassia,2,1
2009,July,,Grazing,7,GT7Q2,Salsola,55,25
2009,July,,Grazing,7,GT7Q2,CS,8,10
2009,July,,Grazing,7,GT7Q2,ArSc,9,3
2009,July,,Grazing,7,GT7Q2,QG3,1,1
2009,July,,Grazing,7,GT7Q3,ChenQ,215,25
2009,July,,Grazing,7,GT7Q3,Bassia,1,1
2009,July,,Grazing,7,GT7Q3,Salsola,21,3
2009,July,,Grazing,7,GT7Q3,CS,5,8
2009,July,,Grazing,7,GT7Q4,ChenQ,64,5
2009,July,,Grazing,7,GT7Q4,Bassia,21,3
2009,July,,Grazing,7,GT7Q4,Salsola,43,5
2009,July,,Grazing,7,GT7Q4,CS,3,15
2009,July,,Grazing,7,GT7Q4,PQ,1,5
2009,July,,Grazing,7,GT7Q4,ArSc,16,12
2009,July,,Grazing,7,GT7Q5,ChenQ,28,2
2009,July,,Grazing,7,GT7Q5,Bassia,13,2
2009,July,,Grazing,7,GT7Q5,Salsola,6,1
2009,July,,Grazing,7,GT7Q5,CS,2,5
2009,July,,Grazing,7,GT7Q5,ArSc,9,1
2009,July,,Grazing,7,GT7Q5,Qsubsh,1,40
2009,July,,Grazing,7,GT7Q5,Alsen,6,12
2009,July,,Grazing,7,GT7Q5,TT,4,2
2009,July,,Grazing,7,GT7Q5,setaria,30,8
2009,July,,Grazing,8,GT8Q1,ChQ,85,3
2009,July,,Grazing,8,GT8Q1,Bassia,35,10
2009,July,,Grazing,8,GT8Q1,Salsola,4,1
2009,July,,Grazing,8,GT8Q1,TT,1,1
2009,July,,Grazing,8,GT8Q1,PQ,1,20
2009,July,,Grazing,8,GT8Q1,CS,2,5
2009,July,,Grazing,8,GT8Q1,setaria,14,2
2009,July,,Grazing,8,GT8Q2,ChenQ,31,15
2009,July,,Grazing,8,GT8Q2,Bassia,44,6
2009,July,,Grazing,8,GT8Q2,Salsola,6,2
2009,July,,Grazing,8,GT8Q2,CS,2,5
2009,July,,Grazing,8,GT8Q2,Alsen,2,1
2009,July,,Grazing,8,GT8Q2,setaria,2,1
2009,July,,Grazing,8,GT8Q3,ChenQ,47,8
2009,July,,Grazing,8,GT8Q3,Bassia,1,1
2009,July,,Grazing,8,GT8Q3,Salsola,1,1
2009,July,,Grazing,8,GT8Q3,CS,4,4
2009,July,,Grazing,8,GT8Q3,ArSc,6,3
2009,July,,Grazing,8,GT8Q3,LS,4,25
2009,July,,Grazing,8,GT8Q3,Alsen,37,30
2009,July,,Grazing,8,GT8Q4,SalixQ,1,85
2009,July,,Grazing,8,GT8Q4,ChQ,170,15
2009,July,,Grazing,8,GT8Q4,Salsola,89,20
2009,July,,Grazing,8,GT8Q4,Bassia,14,2
2009,July,,Grazing,8,GT8Q4,Alsen,5,1
2009,July,,Grazing,8,GT8Q5,PQ,1,25
2009,July,,Grazing,8,GT8Q5,ChQ,230,18
2009,July,,Grazing,8,GT8Q5,Salsola,52,10
2009,July,,Grazing,8,GT8Q5,Bassia,0,0
2009,July,,Grazing,8,GT8Q5,CS,1,2
2009,July,,Grazing,8,GT8Q5,setaria,1,1
2009,July,,Grazing,9,GT9Q1,ChQ,151,12
2009,July,,Grazing,9,GT9Q1,Salsola,82,25
2009,July,,Grazing,9,GT9Q1,PQ,2,18
2009,July,,Grazing,9,GT9Q2,ChQ,70,5
2009,July,,Grazing,9,GT9Q2,Salsola,0,0
2009,July,,Grazing,9,GT9Q2,LD,1,15
2009,July,,Grazing,9,GT9Q2,CS,3,6
2009,July,,Grazing,9,GT9Q2,Alsen,13,10
2009,July,,Grazing,9,GT9Q2,setaria,70,15
2009,July,,Grazing,9,GT9Q2,Bassia,29,3
2009,July,,Grazing,9,GT9Q3,Bassia,147,8
2009,July,,Grazing,9,GT9Q3,Alsen,7,8
2009,July,,Grazing,9,GT9Q3,CS,3,5
2009,July,,Grazing,9,GT9Q3,setaria,1,1
2009,July,,Grazing,9,GT9Q3,ChQ,46,2
2009,July,,Grazing,9,GT9Q3,Salsola,12,2
2009,July,,Grazing,9,GT9Q3,ArSc,20,4
2009,July,,Grazing,9,GT9Q4,CHAcc,280,12
2009,July,,Grazing,9,GT9Q4,Salsola,64,15
2009,July,,Grazing,9,GT9Q4,Bassia,20,2
2009,July,,Grazing,9,GT9Q4,Alsen,4,4
2009,July,,Grazing,9,GT9Q4,CS,1,2
2009,July,,Grazing,9,GT9Q5,CHAcc,190,12
2009,July,,Grazing,9,GT9Q5,Salsola,58,8
2009,July,,Grazing,9,GT9Q5,Bassia,175,20
2009,July,,Grazing,9,GT9Q5,CS,1,2
2009,July,,Grazing,10,GT10Q1,ChQ,145,20
2009,July,,Grazing,10,GT10Q1,Bassia,19,5
2009,July,,Grazing,10,GT10Q1,Salsola,14,5
2009,July,,Grazing,10,GT10Q1,CS,1,1
2009,July,,Grazing,10,GT10Q2,CHAcc,159,15
2009,July,,Grazing,10,GT10Q2,Bassia,13,6
2009,July,,Grazing,10,GT10Q2,Salsola,30,25
2009,July,,Grazing,10,GT10Q2,CS,2,6
2009,July,,Grazing,10,GT10Q3,CHAcc,67,8
2009,July,,Grazing,10,GT10Q3,Bassia,113,18
2009,July,,Grazing,10,GT10Q3,CS,3,1
2009,July,,Grazing,10,GT10Q3,ArSc,1,15
2009,July,,Grazing,10,GT10Q3,Salsola,42,8
2009,July,,Grazing,10,GT10Q4,CHAcc,150,10
2009,July,,Grazing,10,GT10Q4,Bassia,54,8
2009,July,,Grazing,10,GT10Q4,Salsola,30,8
2009,July,,Grazing,10,GT10Q4,ArSc,1,10
2009,July,,Grazing,10,GT10Q4,CS,1,5
2009,July,,Grazing,10,GT10Q5,ChQ,240,15
2009,July,,Grazing,10,GT10Q5,Bassia,20,5
2009,July,,Grazing,10,GT10Q5,Salsola,13,3
2009,July,,Grazing,10,GT10Q5,CS,2,8
2009,July,,Grazing,11,GT11Q1,ChAcc,85,5
2009,July,,Grazing,11,GT11Q1,Bassia,259,15
2009,July,,Grazing,11,GT11Q1,Salsola,22,5
2009,July,,Grazing,11,GT11Q1,setaria,1,2
2009,July,,Grazing,11,GT11Q1,Erod,2,12
2009,July,,Grazing,11,GT11Q1,LS,1,5
2009,July,,Grazing,11,GT11Q1,QG3,21,18
2009,July,,Grazing,11,GT11Q1,TT,2,1
2009,July,,Grazing,11,GT11Q2,CHAcc,6,1
2009,July,,Grazing,11,GT11Q2,Bassia,130,18
2009,July,,Grazing,11,GT11Q2,Salsola,67,20
2009,July,,Grazing,11,GT11Q2,CorMac,7,5
2009,July,,Grazing,11,GT11Q2,setaria,15,5
2009,July,,Grazing,11,GT11Q3,CHAcc,2,1
2009,July,,Grazing,11,GT11Q3,Bassia,90,5
2009,July,,Grazing,11,GT11Q3,Salsola,62,10
2009,July,,Grazing,11,GT11Q3,UnkGS,1,1
2009,July,,Grazing,11,GT11Q3,LD,1,45
2009,July,,Grazing,11,GT11Q3,TT,1,1
2009,July,,Grazing,11,GT11Q3,CorMac,3,3
2009,July,,Grazing,11,GT11Q4,CHAcc,95,10
2009,July,,Grazing,11,GT11Q4,Bassia,62,6
2009,July,,Grazing,11,GT11Q4,Salsola,85,15
2009,July,,Grazing,11,GT11Q4,CorMac,23,10
2009,July,,Grazing,11,GT11Q4,UnkPer,1,20
2009,July,,Grazing,11,GT11Q4,TT,1,1
2009,July,,Grazing,11,GT11Q5,CHAcc,97,8
2009,July,,Grazing,11,GT11Q5,Bassia,25,5
2009,July,,Grazing,11,GT11Q5,Salsola,58,20
2009,July,,Grazing,11,GT11Q5,Cyncthes,2,2
2009,July,,Grazing,11,GT11Q5,PQ,1,15
2009,July,,Grazing,11,GT11Q5,TT,2,1
2009,July,,Grazing,11,GT11Q5,CorMac,8,5
2009,July,,Grazing,12,GT12Q1,CHAcc,26,2
2009,July,,Grazing,12,GT12Q1,Bassia,110,15
2009,July,,Grazing,12,GT12Q1,Salsola,132,25
2009,July,,Grazing,12,GT12Q1,Cyncthes,4,10
2009,July,,Grazing,12,GT12Q2,CHAcc,111,25
2009,July,,Grazing,12,GT12Q2,Bassia,69,6
2009,July,,Grazing,12,GT12Q2,Salsola,11,20
2009,July,,Grazing,12,GT12Q2,setaria,7,3
2009,July,,Grazing,12,GT12Q2,TT,1,3
2009,July,,Grazing,12,GT12Q3,ChAcc,63,5
2009,July,,Grazing,12,GT12Q3,Bassia,104,10
2009,July,,Grazing,12,GT12Q3,Salsola,18,5
2009,July,,Grazing,12,GT12Q3,Thistle,2,5
2009,July,,Grazing,12,GT12Q3,CM,1,5
2009,July,,Grazing,12,GT12Q4,ChAcc,235,12
2009,July,,Grazing,12,GT12Q4,Bassia,48,5
2009,July,,Grazing,12,GT12Q4,Salsola,1,1
2009,July,,Grazing,12,GT12Q4,Alsen,30,18
2009,July,,Grazing,12,GT12Q4,CS,1,2
2009,July,,Grazing,12,GT12Q5,CHAcc,16,2
2009,July,,Grazing,12,GT12Q5,Bassia,15,2
2009,July,,Grazing,12,GT12Q5,Salsola,24,5
2009,July,,Grazing,13,GT12Q5,CS,7,8
2009,July,,Grazing,14,GT12Q5,CorMac,16,10
2009,July,,Grazing,15,GT12Q5,ArSc,6,15
2009,July,,Grazing,13,GT13Q1,ChAcc,17,2
2009,July,,Grazing,13,GT13Q1,Bassia,110,8
2009,July,,Grazing,13,GT13Q1,Salsola,95,15
2009,July,,Grazing,13,GT13Q1,LD,1,45
2009,July,,Grazing,13,GT13Q1,CorMac,3,2
2009,July,,Grazing,13,GT13Q2,CHAcc,4,1
2009,July,,Grazing,13,GT13Q2,Bassia,6,1
2009,July,,Grazing,13,GT13Q2,Salsola,42,90
2009,July,,Grazing,13,GT13Q2,CM,1,25
2009,July,,Grazing,13,GT13Q3,CHAcc,106,10
2009,July,,Grazing,13,GT13Q3,Bassia,63,8
2009,July,,Grazing,13,GT13Q3,Salsola,22,15
2009,July,,Grazing,13,GT13Q3,LD,1,8
2009,July,,Grazing,13,GT13Q3,CorMac,1,1
2009,July,,Grazing,13,GT13Q4,CHAcc,1,1
2009,July,,Grazing,13,GT13Q4,Bassia,30,5
2009,July,,Grazing,13,GT13Q4,Salsola,110,40
2009,July,,Grazing,13,GT13Q4,Equisetum,2,20
2009,July,,Grazing,13,GT13Q5,CHAcc,28,1
2009,July,,Grazing,13,GT13Q5,Bassia,220,20
2009,July,,Grazing,13,GT13Q5,Salsola,17,8
2009,July,,Grazing,13,GT13Q5,Equisetum,2,15
2009,July,,Grazing,13,GT13Q5,CS,3,10
2009,July,,Grazing,13,GT13Q5,Alsen,1,1
2009,July,,Naiman,1,NT1Q1,Bassia,184,20
2009,July,,Naiman,1,NT1Q1,Salsola,105,15
2009,July,,Naiman,1,NT1Q1,Euph.A,34,15
2009,July,,Naiman,1,NT1Q1,Cyncthes,1,6
2009,July,,Naiman,1,NT1Q1,CorMac,12,4
2009,July,,Naiman,1,NT1Q1,setaria,1,1
2009,July,,Naiman,1,NT1Q2,Salsola,153,45
2009,July,,Naiman,1,NT1Q2,Euph.A,7,5
2009,July,,Naiman,1,NT1Q2,LD,1,6
2009,July,,Naiman,1,NT1Q2,Cyncthes,1,15
2009,July,,Naiman,1,NT1Q2,setaria,1,1
2009,July,,Naiman,1,NT1Q2,Bassia,9,3
2009,July,,Naiman,1,NT1Q3,ChAcc,86,15
2009,July,,Naiman,1,NT1Q3,Salsola,263,60
2009,July,,Naiman,1,NT1Q3,LD,1,15
2009,July,,Naiman,1,NT1Q3,Cyncthes,1,5
2009,July,,Naiman,1,NT1Q4,CHAcc,67,10
2009,July,,Naiman,1,NT1Q4,Salsola,151,30
2009,July,,Naiman,1,NT1Q4,CorMac,3,2
2009,July,,Naiman,1,NT1Q4,Bassia,1,1
2009,July,,Naiman,1,NT1Q4,Dodder,1,1
2009,July,,Naiman,1,NT1Q4,LD,1,5
2009,July,,Naiman,1,NT1Q4,setaria,5,5
2009,July,,Naiman,1,NT1Q5,ChAcc,160,40
2009,July,,Naiman,1,NT1Q5,Salsola,71,20
2009,July,,Naiman,1,NT1Q5,CorMac,1,1
2009,July,,Naiman,1,NT1Q5,setaria,43,15
2009,July,,Naiman,1,NT1Q5,Dodder,1,1
2009,July,,Naiman,1,NT1Q5,Bassia,2,2
2009,July,,Naiman,2,NT2Q1,ChAcc,9,2
2009,July,,Naiman,2,NT2Q1,Salsola,110,15
2009,July,,Naiman,2,NT2Q1,Dodder,1,20
2009,July,,Naiman,2,NT2Q1,Euph.A,74,25
2009,July,,Naiman,2,NT2Q2,CHAcc,93,10
2009,July,,Naiman,2,NT2Q2,Salsola,51,12
2009,July,,Naiman,2,NT2Q2,Bassia,2,2
2009,July,,Naiman,2,NT2Q2,Euph.A,25,10
2009,July,,Naiman,2,NT2Q2,CorMac,9,6
2009,July,,Naiman,2,NT2Q3,Bassia,170,20
2009,July,,Naiman,2,NT2Q3,Euph.A,29,10
2009,July,,Naiman,2,NT2Q3,Salsola,9,5
2009,July,,Naiman,2,NT2Q3,CorMac,15,6
2009,July,,Naiman,2,NT2Q3,Cyncthes,1,1
2009,July,,Naiman,2,NT2Q4,Bassia,91,20
2009,July,,Naiman,2,NT2Q4,Salsola,75,15
2009,July,,Naiman,2,NT2Q4,Euph.A,1,2
2009,July,,Naiman,2,NT2Q4,CM,1,35
2009,July,,Naiman,2,NT2Q4,Cyncthes,1,5
2009,July,,Naiman,2,NT2Q4,CorMac,2,1
2009,July,,Naiman,2,NT2Q5,Bassia,154,50
2009,July,,Naiman,2,NT2Q5,Salsola,35,15
2009,July,,Naiman,3,NT3Q1,ChAcc,29,20
2009,July,,Naiman,3,NT3Q1,Bassia,42,20
2009,July,,Naiman,3,NT3Q1,setaria,1,3
2009,July,,Naiman,3,NT3Q1,Salsola,17,10
2009,July,,Naiman,3,NT3Q1,Euph.A,5,3
2009,July,,Naiman,3,NT3Q2,Bassia,56,10
2009,July,,Naiman,3,NT3Q2,Salsola,100,15
2009,July,,Naiman,3,NT3Q2,setaria,38,12
2009,July,,Naiman,3,NT3Q2,CM,1,20
2009,July,,Naiman,3,NT3Q2,Euph.A,5,8
2009,July,,Naiman,3,NT3Q3,ChAcc,9,5
2009,July,,Naiman,3,NT3Q3,Bassia,59,15
2009,July,,Naiman,3,NT3Q3,Salsola,57,20
2009,July,,Naiman,3,NT3Q3,POAQ,9,2
2009,July,,Naiman,3,NT3Q3,CorMac,2,2
2009,July,,Naiman,3,NT3Q3,setaria,21,20
2009,July,,Naiman,3,NT3Q3,Arisads,4,18
2009,July,,Naiman,3,NT3Q4,ChAcc,15,15
2009,July,,Naiman,3,NT3Q4,Bassia,31,60
2009,July,,Naiman,3,NT3Q4,Salsola,41,20
2009,July,,Naiman,3,NT3Q4,MR,1,1
2009,July,,Naiman,3,NT3Q4,LD,1,15
2009,July,,Naiman,3,NT3Q4,setaria,29,15
2009,July,,Naiman,3,NT3Q4,Arisads,1,5
2009,July,,Naiman,3,NT3Q4,CorMac,1,1
2009,July,,Naiman,3,NT3Q5,ChAcc,39,10
2009,July,,Naiman,3,NT3Q5,Bassia,120,12
2009,July,,Naiman,3,NT3Q5,Salsola,28,5
2009,July,,Naiman,3,NT3Q5,setaria,25,20
2009,July,,Naiman,3,NT3Q5,Euph.A,1,1
2009,July,,Naiman,4,NT4Q1,LD,3,70
2009,July,,Naiman,4,NT4Q1,Salsola,20,15
2009,July,,Naiman,4,NT4Q1,setaria,19,20
2009,July,,Naiman,4,NT4Q1,CorMac,2,1
2009,July,,Naiman,4,NT4Q1,Bassia,2,2
2009,July,,Naiman,4,NT4Q2,Bassia,7,8
2009,July,,Naiman,4,NT4Q2,Salsola,9,20
2009,July,,Naiman,4,NT4Q2,Euph.A,7,2
2009,July,,Naiman,4,NT4Q2,CorMac,4,6
2009,July,,Naiman,4,NT4Q2,Cyncthes,2,15
2009,July,,Naiman,4,NT4Q2,setaria,9,5
2009,July,,Naiman,4,NT4Q2,MR,14,2
2009,July,,Naiman,4,NT4Q2,ChAcc,1,1
2009,July,,Naiman,4,NT4Q3,ChAcc,5,2
2009,July,,Naiman,4,NT4Q3,Bassia,6,2
2009,July,,Naiman,4,NT4Q3,Salsola,35,40
2009,July,,Naiman,4,NT4Q3,setaria,39,20
2009,July,,Naiman,4,NT4Q3,CorMac,11,10
2009,July,,Naiman,4,NT4Q3,LD,1,1
2009,July,,Naiman,4,NT4Q4,ChAcc,50,6
2009,July,,Naiman,4,NT4Q4,Bassia,189,25
2009,July,,Naiman,4,NT4Q4,Salsola,84,25
2009,July,,Naiman,4,NT4Q4,setaria,1,1
2009,July,,Naiman,4,NT4Q5,ChAcc,4,10
2009,July,,Naiman,4,NT4Q5,Bassia,220,25
2009,July,,Naiman,4,NT4Q5,Salsola,16,5
2009,July,,Naiman,4,NT4Q5,MR,1,55
2009,July,,Naiman,5,NT5Q1,CHAcc,30,8
2009,July,,Naiman,5,NT5Q1,Bassia,4,1
2009,July,,Naiman,5,NT5Q1,Salsola,49,6
2009,July,,Naiman,5,NT5Q1,CorMac,33,10
2009,July,,Naiman,5,NT5Q1,Arisads,6,5
2009,July,,Naiman,5,NT5Q1,setaria,16,10
2009,July,,Naiman,5,NT5Q1,AH,3,3
2009,July,,Naiman,5,NT5Q1,Euphhed,20,15
2009,July,,Naiman,5,NT5Q1,Cyncthes,1,1
2009,July,,Naiman,5,NT5Q2,ChAcc,126,20
2009,July,,Naiman,5,NT5Q2,Bassia,52,5
2009,July,,Naiman,5,NT5Q2,Salsola,45,5
2009,July,,Naiman,5,NT5Q2,Arisads,25,15
2009,July,,Naiman,5,NT5Q2,setaria,7,5
2009,July,,Naiman,5,NT5Q2,Cyncthes,1,1
