Year,Month,Day,SiteName,Transect,PlotNumber,SpeciesCode,Cover,
2018,July,19,Naimen,1,QN1,SV,25,
2018,July,19,Naimen,1,QN1,EP,10,
2018,July,19,Naimen,1,QN1,Eph,15,
2018,July,19,Naimen,1,QN1,L,15,
2018,July,19,Naimen,1,QN1,TT,15,
2018,July,19,Naimen,1,QN1,CM,1,
2018,July,19,Naimen,1,QN1,CS,3,
2018,July,19,Naimen,1,QN1,bare,20,
2018,July,19,Naimen,2,QN2,LD,20,
2018,July,19,Naimen,2,QN2,Eph,35,
2018,July,19,Naimen,2,QN2,bare,2,
2018,July,19,Naimen,2,QN2,CT,30,
2018,July,19,Naimen,2,QN2,L,10,
2018,July,19,Naimen,3,QN3,SV,10,
2018,July,19,Naimen,3,QN3,EuphA,20,
2018,July,19,Naimen,3,QN3,LD,10,
2018,July,19,Naimen,3,QN3,Eph,15,
2018,July,19,Naimen,3,QN3,CT,5,
2018,July,19,Naimen,3,QN3,AA,10,
2018,July,19,Naimen,3,QN3,CS,8,
2018,July,19,Naimen,3,QN3,bare,22,
2018,July,19,Naimen,4,QN4,SV,25,
2018,July,19,Naimen,4,QN4,CA,35,
2018,July,19,Naimen,4,QN4,BD,10,
2018,July,19,Naimen,4,QN4,TT,10,
2018,July,19,Naimen,4,QN4,CM,2,
2018,July,19,Naimen,4,QN4,L,30,
2018,July,19,Naimen,4,QN4,bare,5,
2018,July,19,Naimen,5,QN5,SV,10,
2018,July,19,Naimen,5,QN5,AA,10,
2018,July,19,Naimen,5,QN5,TT,50,
2018,July,19,Naimen,5,QN5,LD,5,
2018,July,19,Naimen,5,QN5,L,5,
2018,July,19,Naimen,5,QN5,EP,5,
2018,July,19,Naimen,5,QN5,CS,5,
2018,July,19,Naimen,5,QN5,CM,5,
2018,July,19,Naimen,5,QN5,EuphA,15,
